,champ,role,side,x,y,second
566,trundle,jgl,red,0.5033557046979866,0.22727272727272727,82
565,ornn,top,red,,,82
569,janna,sup,red,,,82
563,missfortune,adc,blue,,,82
562,azir,mid,blue,,,82
561,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,82
560,zac,top,blue,,,82
564,braum,sup,blue,,,82
579,janna,sup,red,,,84
578,aphelios,adc,red,0.9463087248322147,0.7207792207792207,84
577,corki,mid,red,,,84
576,trundle,jgl,red,0.5033557046979866,0.22727272727272727,84
575,ornn,top,red,,,84
573,missfortune,adc,blue,,,84
572,azir,mid,blue,0.5033557046979866,0.525974025974026,84
571,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,84
570,zac,top,blue,,,84
574,braum,sup,blue,,,84
584,braum,sup,blue,,,85
580,zac,top,blue,,,85
581,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,85
582,azir,mid,blue,0.5100671140939598,0.525974025974026,85
583,missfortune,adc,blue,,,85
585,ornn,top,red,,,85
586,trundle,jgl,red,0.5033557046979866,0.22727272727272727,85
587,corki,mid,red,,,85
588,aphelios,adc,red,,,85
589,janna,sup,red,0.8590604026845637,0.6493506493506493,85
597,corki,mid,red,,,86
599,janna,sup,red,0.8859060402684564,0.6558441558441559,86
596,trundle,jgl,red,0.5167785234899329,0.23376623376623376,86
598,aphelios,adc,red,,,86
595,ornn,top,red,,,86
594,braum,sup,blue,,,86
593,missfortune,adc,blue,,,86
592,azir,mid,blue,0.5234899328859061,0.538961038961039,86
591,gragas,jgl,blue,0.2483221476510067,0.5454545454545454,86
590,zac,top,blue,,,86
609,janna,sup,red,0.912751677852349,0.6493506493506493,87
608,aphelios,adc,red,,,87
607,corki,mid,red,,,87
606,trundle,jgl,red,0.5369127516778524,0.24675324675324675,87
605,ornn,top,red,0.28859060402684567,0.14935064935064934,87
603,missfortune,adc,blue,,,87
602,azir,mid,blue,,,87
601,gragas,jgl,blue,0.2483221476510067,0.551948051948052,87
600,zac,top,blue,,,87
604,braum,sup,blue,,,87
616,trundle,jgl,red,0.5570469798657718,0.2532467532467532,88
619,janna,sup,red,0.9328859060402684,0.6493506493506493,88
618,aphelios,adc,red,,,88
