renekton,cassiopeia,Seconds
"(15.0, 37.0)","(80.0, 69.0)",487
"(16.0, 36.0)","(80.0, 72.0)",488
"(18.0, 35.0)","(80.0, 73.0)",489
"(19.0, 34.0)","(82.0, 71.0)",490
"(20.0, 33.0)","(81.0, 71.0)",491
"(22.0, 32.0)","(80.0, 72.0)",492
"(23.0, 31.0)","(82.0, 69.0)",493
"(24.0, 30.0)","(85.0, 68.0)",494
"(26.0, 29.0)","(89.0, 67.0)",495
"(27.0, 28.0)","(92.0, 66.0)",496
"(29.0, 27.0)","(93.0, 63.0)",497
"(30.0, 26.0)","(92.0, 60.0)",498
"(31.0, 24.0)","(88.0, 60.0)",499
"(33.0, 23.0)","(86.0, 60.0)",500
"(34.0, 22.0)","(87.0, 60.0)",501
"(36.0, 21.0)","(86.0, 60.0)",502
"(37.0, 20.0)","(85.0, 61.0)",503
"(38.0, 19.0)","(81.0, 62.0)",504
"(40.0, 18.0)","(79.0, 61.0)",505
"(41.0, 17.0)","(78.0, 63.0)",506
"(42.0, 16.0)","(78.0, 67.0)",507
"(44.0, 15.0)","(78.0, 70.0)",508
"(45.0, 14.0)","(79.0, 72.0)",509
"(47.0, 13.0)","(79.0, 74.0)",510
"(48.0, 12.0)","(80.0, 74.0)",511
"(49.0, 12.0)","(80.0, 76.0)",512
"(46.0, 12.0)","(80.0, 75.0)",513
"(44.0, 10.0)","(79.0, 75.0)",514
"(42.0, 10.0)","(79.0, 75.0)",515
"(42.0, 10.0)","(81.0, 73.0)",516
"(41.0, 10.0)","(79.0, 74.0)",517
"(41.0, 10.0)","(80.0, 73.0)",518
"(42.0, 11.0)","(79.0, 74.0)",519
"(42.0, 12.0)","(83.0, 74.0)",520
"(41.0, 13.0)","(86.0, 74.0)",521
"(39.0, 13.0)","(88.0, 74.0)",522
"(37.0, 14.0)","(89.0, 74.0)",523
"(36.0, 14.0)","(94.0, 67.0)",524
"(34.0, 15.0)","(99.0, 61.0)",525
"(32.0, 15.0)","(104.0, 54.0)",526
"(30.0, 16.0)","(109.0, 48.0)",527
"(28.0, 16.0)","(114.0, 41.0)",528
